"","QY","frxnyear","drugratio","reacratio","outcratio","rpsrratio","demo","drug","reac","outc","rpsr"
"1","Q4-1997",1997.75,2.91656921380601,3.08232817668482,0.874102041498212,1.26773363627251,29929,87290,92251,26161,37942
"2","Q1-1998",1998,2.83429585852003,3.41223792723759,1.1421990517067,1.27300510100897,44501,126129,151848,50829,56650
"3","Q2-1998",1998.25,3.12859717294588,3.60012952638396,1.19051641606127,1.37283888044152,35514,111109,127855,42280,48755
"4","Q3-1998",1998.5,3.23727478336002,3.52476430078016,1.16695890828696,1.35434931767935,39351,127390,138703,45921,53295
"5","Q4-1998",1998.75,3.20749636098981,3.78626880155264,1.20317806889859,1.41812227074236,41220,132213,156070,49595,58455
"6","Q1-1999",1999,2.75471552654572,2.81654417433314,0.629002415583081,1.27558205273166,77828,214394,219206,48954,99276
"7","Q2-1999",1999.25,3.34659839374495,3.59524922449326,1.00038244167764,1.38522500318701,47066,157511,169214,47084,65197
"8","Q3-1999",1999.5,3.38737145357742,3.27627452410473,0.920665888702502,1.37043249945299,54844,185777,179684,50493,75160
"9","Q4-1999",1999.75,3.34466671067978,3.47023613036685,1.05792126053564,1.46825554015096,45441,151985,157691,48073,66719
"10","Q1-2000",2000,3.36432485829198,3.75856716137075,1.17973986875838,1.48848695815791,42517,143041,159803,50159,63286
"11","Q2-2000",2000.25,3.4599769909242,4.06294260513869,1.18611785759939,1.516860539435,39115,135337,158922,46395,59332
"12","Q3-2000",2000.5,3.42204444080697,3.68275565740476,0.986680034374105,1.43745140565536,48874,167249,179991,48223,70254
"13","Q4-2000",2000.75,3.4598123706784,3.56491693284317,0.951264589485526,1.46425199381265,49779,172226,177458,47353,72889
"14","Q1-2001",2001,3.34352701325178,3.27242609582059,0.99641260879793,1.46000940955069,51012,170560,166933,50829,74478
"15","Q2-2001",2001.25,3.57175195500069,3.49714181186262,1.09697260712489,1.53779667992866,43734,156207,152944,47975,67254
"16","Q3-2001",2001.5,3.56674149150851,3.47255288755867,1.09604788789878,1.58313493413146,44103,157304,153150,48339,69821
"17","Q4-2001",2001.75,3.77199655368063,3.70855485741904,1.07069157543026,1.50488578813542,47587,179498,176479,50951,71613
"18","Q1-2002",2002,3.97035227493546,4.3054159842323,1.24650917469395,1.46298198373262,36023,143024,155094,44903,52701
"19","Q2-2002",2002.25,3.63095216317571,3.70483856215129,1.09785054422391,1.45367236806,54665,198486,202525,60014,79465
"20","Q3-2002",2002.5,3.9642933367482,3.81724079054083,1.12827079865113,1.42572672557306,46854,185743,178853,52864,66801
"21","Q4-2002",2002.75,3.72584178844149,3.77293514559803,1.11973283985281,1.46125539744326,47013,175163,177377,52642,68698
"22","Q1-2003",2003,3.65455239292449,3.9177965340756,1.18393642812247,1.38868187124001,44548,162803,174530,52742,61863
"23","Q2-2003",2003.25,3.42319279731118,3.81375058774359,0.978684499242464,1.38550754923985,57423,196570,218997,56199,79560
"24","Q3-2003",2003.5,3.60030196432463,3.94309373346201,0.990147246521184,1.31830775456838,64246,231305,253328,63613,84696
"25","Q4-2003",2003.75,3.68683722163309,3.86240721102863,1.02120890774125,1.32282277306469,60352,222508,233104,61632,79835
"26","Q1-2004",2004,3.57527851458886,4.01321712769989,0.874452444107616,1.18902614626753,65975,235879,264772,57692,78446
"27","Q2-2004",2004.25,3.8752781375577,4.22511706685265,1.03452226760984,1.31730928896417,60222,233377,254445,62301,79331
"28","Q3-2004",2004.5,3.62486912035626,3.8597632900823,0.888126068574307,1.16531258697698,75451,273500,291223,67010,87924
"29","Q4-2004",2004.75,3.92345092718227,4.12907055630936,1.04869120307553,1.03359622342831,70752,277592,292140,74197,73129
"30","Q1-2005",2005,3.66610658965608,4.12161984772906,1.01709110002625,0.911000262536099,76180,279284,313985,77482,69400
"31","Q2-2005",2005.25,3.95720346341826,4.18605949338825,1.00460217828169,1.01690773314809,80614,319006,337455,80985,81977
"32","Q3-2005",2005.5,3.77829156110879,4.13607742824114,1.03305703814841,0.915857047986817,81314,307228,336321,84002,74472
"33","Q4-2005",2005.75,3.64538285998328,4.06738742402675,1.01448293002553,0.842190288980772,88518,322682,360037,89800,74549
"34","Q1-2006",2006,3.75886604041239,4.57248651244876,1.08062372245244,0.770080534363935,89527,336520,409361,96745,68943
"35","Q2-2006",2006.25,3.90425518549694,4.89601366885687,1.10051886377627,0.896993605286631,79597,310767,389708,87598,71398
"36","Q3-2006",2006.5,3.79429479672076,3.9919273883219,1.00203558083766,0.934373431487368,71724,272142,286317,71870,67017
"37","Q4-2006",2006.75,3.50492016004037,3.67792476180178,0.931093729349145,0.74981076307537,83229,291711,306110,77494,62406
"38","Q1-2007",2007,3.63886887608069,3.39276386887608,0.976765129682997,0.663150666426513,88832,323248,301386,86768,58909
"39","Q2-2007",2007.25,3.74119104040392,3.55561641878133,1.03439036879145,0.596734820248401,83977,314174,298590,86865,50112
"40","Q3-2007",2007.5,3.41643150934555,3.28301140209299,0.929567345238715,0.496412766178997,96035,328097,315284,89271,47673
"41","Q4-2007",2007.75,3.40593491791941,3.32744876788119,0.836393914024679,0.437374877152113,109892,374285,365660,91913,48064
"42","Q1-2008",2008,3.54259088993602,3.51321687162395,0.931722407386124,0.452390529824158,104412,369889,366822,97283,47235
"43","Q2-2008",2008.25,3.57911872226822,3.76316009785773,0.940810954112908,0.403560830860534,107503,384766,404551,101140,43384
"44","Q3-2008",2008.5,3.68344812960453,3.71333204245157,0.950697537182005,0.402543037075968,108453,399481,402722,103106,43657
"45","Q4-2008",2008.75,3.43845022474881,3.37788372554204,0.855978979375992,0.311987704918033,121024,416135,408805,103594,37758
"46","Q1-2009",2009,3.69293239290009,3.40504136829448,0.985983237315817,0.333710224519464,111438,411533,379451,109876,37188
"47","Q2-2009",2009.25,4.09857664850064,3.6875383398085,1.0192832567278,0.301384233781705,112481,461012,414778,114650,33900
"48","Q3-2009",2009.5,4.12696045267237,3.4942954671259,0.908965803554954,0.27494772126207,130072,536802,454510,118231,35763
"49","Q4-2009",2009.75,3.74707351787841,3.70451244662619,0.949102448659482,0.286853341853778,137708,516002,510141,130699,39502
"50","Q1-2010",2010,3.86679002283558,3.724262249341,0.936317377800295,0.264246536114721,136191,526622,507211,127518,35988
"51","Q2-2010",2010.25,3.99400492897295,3.80939689308559,0.978234984631573,0.256825796804475,144452,576942,550275,141308,37099
"52","Q3-2010",2010.5,3.79675309473644,3.51929462464227,0.789476701686996,0.181030734758035,209307,794687,736613,165243,37891
"53","Q4-2010",2010.75,3.49110134174443,3.55892943720821,0.865346167884206,0.180958451137732,183567,640851,653302,158849,33218
"54","Q1-2011",2011,3.79277906591587,3.65102130948438,0.924986198520481,0.189510875565861,181140,687024,661346,167552,34328
"55","Q2-2011",2011.25,3.88802943749678,3.86918841027225,1.00666975451598,0.183824816015645,194310,755483,751822,195606,35719
"56","Q3-2011",2011.5,3.79297906699467,3.73638298193453,0.965695226308879,0.20791137807694,198777,753957,742707,191958,41328
"57","Q4-2011",2011.75,3.52573032738979,3.70874572438704,0.873652642975539,0.168346571365609,208742,735968,774171,182368,35141
"58","Q1-2012",2012,3.71722606652439,3.61597792580138,0.875013473021621,0.191623014076613,231945,862192,838708,202955,44446
"59","Q2-2012",2012.25,3.6491069289536,3.70622709647652,0.917383164302003,0.178028588921128,225402,822516,835391,206780,40128
"60","Q3-2012",2012.5,3.80903969720975,3.69539799900244,0.902517384033096,0.0813895490420444,136332,519294,503801,123042,11096
"61","Q4-2012",2012.75,3.20888792034063,3.09598685754518,0.804560465350186,0.109234083213196,238616,765692,738752,191981,26065
"62","Q1-2013",2013,3.30860568694047,2.95034904874136,0.689687155544005,0.242604557796915,223178,738408,658453,153923,54144
"63","Q2-2013",2013.25,3.28834666278901,3.17148175076341,0.807386941980515,0.158574960011633,171925,565349,545257,138810,27263
"64","Q3-2013",2013.5,3.27737375586071,3.15125611640138,0.795134870351131,0.134617351470359,185771,608841,585412,147713,25008
"65","Q4-2013",2013.75,3.18168755968923,2.97464874770922,0.665499410636083,0.114908756141,232454,739596,691469,154698,26711
"66","Q1-2014",2014,3.46891522193533,2.90256900897578,0.655884974794049,0.145725746956842,260256,902806,755411,170698,37926
"67","Q2-2014",2014.25,3.05916771550224,2.91748565103679,0.796186701657607,0.101080970105955,224058,685431,653686,178392,22648
"68","Q3-2014",2014.5,3.26048889855922,3.16011238612391,0.803537135667458,0.115186316894813,211414,689313,668092,169879,24352
"69","Q4-2014",2014.75,3.283331010252,3.05583566041998,0.805178388614659,0.112224053985206,208057,683120,635788,167523,23349
"70","Q1-2015",2015,3.41698379118021,2.75304013897778,0.750826835827766,0.0890554996799854,317173,1083775,873190,238142,28246
"71","Q2-2015",2015.25,3.34535451900283,2.92156280021287,0.693093462529978,0.0707690287444104,289378,968072,845436,200566,20479
"72","Q3-2015",2015.5,3.24883464487996,2.84079995990176,0.534579720314771,0.0302816901408451,399020,1296350,1133536,213308,12083
"73","Q4-2015",2015.75,3.38460194754461,3.07766993374791,0.652014558944032,0.0180779907132739,314858,1065669,969029,205292,5692
"74","Q1-2016",2016,3.29169206379577,2.772196635279,0.575348157056757,0.0177174017028604,365855,1204282,1014222,210494,6482
"75","Q2-2016",2016.25,3.62627559084989,2.89358063251603,0.69262844425336,0.0298554646501688,316324,1147078,915309,219095,9444
"76","Q3-2016",2016.5,4.014568937229,2.98634540455642,0.706349737325853,0.0234415569934403,313887,1260121,937375,221714,7358
